Site,Location,File,Date,Time,#Flowers,#Number,Insect,#Minutes,
c4.1,Loc1,c4.1_20170619_151100.jpg,20170619,1511,2,,,,
c4.1,Loc1,c4.1_20170619_151200.jpg,20170619,1512,2,,,,
c4.1,Loc1,c4.1_20170619_151300.jpg,20170619,1513,2,,,,
c4.1,Loc1,c4.1_20170619_151400.jpg,20170619,1514,2,,,,
c4.1,Loc1,c4.1_20170619_151500.jpg,20170619,1515,2,,,,
c4.1,Loc1,c4.1_20170619_151600.jpg,20170619,1516,2,,,,
c4.1,Loc1,c4.1_20170619_151700.jpg,20170619,1517,2,,,,
c4.1,Loc1,c4.1_20170619_151800.jpg,20170619,1518,2,,,,
c4.1,Loc1,c4.1_20170619_151900.jpg,20170619,1519,2,,,,
c4.1,Loc1,c4.1_20170619_152000.jpg,20170619,1520,2,,,,
c4.1,Loc1,c4.1_20170619_152100.jpg,20170619,1521,2,,,,
c4.1,Loc1,c4.1_20170619_152200.jpg,20170619,1522,2,1,,1,
c4.1,Loc1,c4.1_20170619_152300.jpg,20170619,1523,2,,,,
c4.1,Loc1,c4.1_20170619_152400.jpg,20170619,1524,2,,,,
c4.1,Loc1,c4.1_20170619_152500.jpg,20170619,1525,2,,,,
c4.1,Loc1,c4.1_20170619_152600.jpg,20170619,1526,2,,,,
c4.1,Loc1,c4.1_20170619_152700.jpg,20170619,1527,2,,,,
c4.1,Loc1,c4.1_20170619_152800.jpg,20170619,1528,2,,,,
c4.1,Loc1,c4.1_20170619_152900.jpg,20170619,1529,2,,,,
c4.1,Loc1,c4.1_20170619_153000.jpg,20170619,1530,2,,,,
c4.1,Loc1,c4.1_20170619_153100.jpg,20170619,1531,2,1,,1,
c4.1,Loc1,c4.1_20170619_153200.jpg,20170619,1532,2,,,,
c4.1,Loc1,c4.1_20170619_153300.jpg,20170619,1533,2,,,,
c4.1,Loc1,c4.1_20170619_153400.jpg,20170619,1534,2,,,,
c4.1,Loc1,c4.1_20170619_153500.jpg,20170619,1535,2,1,,1,
c4.1,Loc1,c4.1_20170619_153600.jpg,20170619,1536,2,,,,
c4.1,Loc1,c4.1_20170619_153700.jpg,20170619,1537,2,,,,
c4.1,Loc1,c4.1_20170619_153800.jpg,20170619,1538,2,,,,
c4.1,Loc1,c4.1_20170619_153900.jpg,20170619,1539,2,,,,
c4.1,Loc1,c4.1_20170619_154000.jpg,20170619,1540,2,,,,
c4.1,Loc1,c4.1_20170619_154100.jpg,20170619,1541,2,,,,
c4.1,Loc1,c4.1_20170619_154200.jpg,20170619,1542,2,,,,
c4.1,Loc1,c4.1_20170619_154300.jpg,20170619,1543,2,,,,
c4.1,Loc1,c4.1_20170619_154400.jpg,20170619,1544,2,,,,
c4.1,Loc1,c4.1_20170619_154500.jpg,20170619,1545,2,,,,
c4.1,Loc1,c4.1_20170619_154600.jpg,20170619,1546,2,,,,
c4.1,Loc1,c4.1_20170619_154700.jpg,20170619,1547,2,1,,1,
c4.1,Loc1,c4.1_20170619_154800.jpg,20170619,1548,2,,,,
c4.1,Loc1,c4.1_20170619_154900.jpg,20170619,1549,2,,,,
c4.1,Loc1,c4.1_20170619_155000.jpg,20170619,1550,2,,,,
c4.1,Loc1,c4.1_20170619_155100.jpg,20170619,1551,2,1,,2,
c4.1,Loc1,c4.1_20170619_155200.jpg,20170619,1552,2,1,,,
c4.1,Loc1,c4.1_20170619_155300.jpg,20170619,1553,2,,,,
c4.1,Loc1,c4.1_20170619_155400.jpg,20170619,1554,2,,,,
c4.1,Loc1,c4.1_20170619_155500.jpg,20170619,1555,2,,,,
c4.1,Loc1,c4.1_20170619_155600.jpg,20170619,1556,2,,,,
c4.1,Loc1,c4.1_20170619_155700.jpg,20170619,1557,2,,,,
c4.1,Loc1,c4.1_20170619_155800.jpg,20170619,1558,2,1,,3,
c4.1,Loc1,c4.1_20170619_155900.jpg,20170619,1559,2,1,,,
c4.1,Loc1,c4.1_20170619_160000.jpg,20170619,1600,2,1,,,
c4.1,Loc1,c4.1_20170619_160100.jpg,20170619,1601,2,1,,1,
c4.1,Loc1,c4.1_20170619_160200.jpg,20170619,1602,2,,,,
c4.1,Loc1,c4.1_20170619_160300.jpg,20170619,1603,2,,,,
c4.1,Loc1,c4.1_20170619_160400.jpg,20170619,1604,2,,,,
c4.1,Loc1,c4.1_20170619_160500.jpg,20170619,1605,2,,,,
c4.1,Loc1,c4.1_20170619_160600.jpg,20170619,1606,2,,,,
c4.1,Loc1,c4.1_20170619_160700.jpg,20170619,1607,2,,,,
c4.1,Loc1,c4.1_20170619_160800.jpg,20170619,1608,2,,,,
c4.1,Loc1,c4.1_20170619_160900.jpg,20170619,1609,2,,,,
c4.1,Loc1,c4.1_20170619_161000.jpg,20170619,1610,2,,,,
c4.1,Loc1,c4.1_20170619_161100.jpg,20170619,1611,2,,,,
